Timestamp,Gender,Age,City,Region,State,Choose a product category
6/13/2021 18:01:10,Male,21-25,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:01:23,Female,21-25,Tier 3 City,Northern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 18:04:42,Female,15-20,Tier 2 City,Northern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 18:05:09,Male,15-20,Tier 2 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:09:59,Male,15-20,Tier 2 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:10:14,Male,21-25,Tier 1 City,Northern India,Delhi,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 18:10:43,Female,15-20,Tier 2 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:13:08,Male,21-25,Tier 2 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:13:49,Male,21-25,Tier 3 City,Northern India,Punjab ,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:17:05,Female,21-25,Tier 3 City,Southern India,Maharashtra,Novels
6/13/2021 18:18:49,Male,15-20,Tier 1 City,Northern India,punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 18:20:12,Female,15-20,Tier 3 City,Western India,Rajasthan ,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:21:01,Female,21-25,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:21:54,Female,15-20,Tier 2 City,Northern India,Rajasthan ,Novels
6/13/2021 18:22:15,Female,15-20,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:22:33,Male,21-25,Tier 2 City,Northern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
